time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0,1.299999952,354,25.7421627,0.095421284,-79.78280734,40.45904467,266.128119,0.000658211,0.016477346,-0.668771744,0.743285,0.000554811,-0.002376535,0.012342682,0.002316335,-0.001237326,5.60E-06,-0.211558329,-0.243358064,-9.80490766
0.1,1.299999952,0,25.7421627,0.103373058,-79.78280725,40.45904465,266.1366731,0.000635614,0.016462715,-0.668789625,0.743269205,-0.003934767,-0.001036099,0.010533442,0.002999852,-0.000388433,-0.00055635,-0.213125748,-0.244965135,-9.805147396
0.3,1.299999952,5,25.73965836,0.095421284,-79.78280725,40.45904466,266.1377341,0.000629702,0.016477246,-0.668791354,0.743267298,-0.003719023,-0.001381811,0.010437563,-0.002657943,0.003297268,0.00020336,-0.206743202,-0.244403674,-9.801281801
0.39,1.200000048,1,25.74466705,0.103373058,-79.78280716,40.45904466,266.1467965,0.000616101,0.016458992,-0.668774068,0.743283331,-0.011665678,0.000238882,0.009503215,-0.003193717,0.001582643,0.003142203,-0.212003941,-0.246127451,-9.806360693
0.6,1.200000048,4,25.74341393,0.103373058,-79.78280708,40.45904462,266.1560399,0.000608099,0.016459046,-0.668785512,0.74327302,-0.009177377,0.000199703,0.011275136,0.002165186,-0.002522701,0.002058045,-0.212869439,-0.246874342,-9.80648173
0.69,1.200000048,4,25.74466705,0.087469511,-79.78280708,40.45904463,266.1571705,0.000618913,0.016480459,-0.668782115,0.743275583,-0.008898489,4.40E-05,0.010977809,-0.003133541,0.000636635,0.003375208,-0.206820842,-0.244514205,-9.802420254
0.89,1.200000048,7,25.74341393,0.103373058,-79.78280699,40.4590446,266.1688489,0.000635443,0.016468855,-0.66876471,0.743291438,-0.009089882,2.40E-05,0.014197203,0.002060466,-0.001921277,-0.006825647,-0.20851224,-0.24613403,-9.80090641
1,1.200000048,17,25.7421627,0.111324832,-79.78280689,40.45904456,266.1814944,0.000636848,0.016477827,-0.668763041,0.743292689,-0.00447327,-5.23E-05,0.016712663,-0.001037035,-0.002814529,-0.003666518,-0.208235046,-0.2447696,-9.802001009
1.19,1.100000024,23,25.74591827,0.047710642,-79.78280689,40.45904456,266.1831554,0.00063609,0.016447589,-0.668769538,0.743287623,-0.004197807,-0.000489203,0.01631216,0.000903858,-7.86E-05,0.004695623,-0.211820302,-0.244624735,-9.804948006
1.29,1,31,25.74842262,0.095421284,-79.7828068,40.45904451,266.1967638,0.000644815,0.016464669,-0.668765545,0.743290842,-0.001564366,-0.000460547,0.017718506,-0.004103755,0.003994611,0.001106366,-0.208522034,-0.244045788,-9.801971773
